RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
647439,201666468,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,2/24/2016 19:43,1/19/2016 0:01,1/19/2016 23:59,19XX BLOCK OF 2 AV,M,M1,8002.1003,-122.3411026,47.6113472,"(47.611347198, -122.3411026)",1,2016
646851,201664759,2608,0,FRAUD-WIRE-ELECTRONIC,2600,FRAUD,2/23/2016 10:43,1/30/2016 8:46,,56XX BLOCK OF CALIFORNIA AV SW,W,W2,10600.2003,-122.3870621,47.55120468,"(47.551204681, -122.387062073)",1,2016
647016,201664741,X,48,PROPERTY LOST,X,LOST PROPERTY,2/23/2016 10:30,1/20/2016 13:00,,GREENWOOD AV N / N 125 ST,N,N1,402.4004,-122.3555374,47.71960068,"(47.719600677, -122.355537415)",1,2016
646168,201663829,2316,0,THEFT-MAIL,2300,MAIL THEFT,2/22/2016 18:54,1/18/2016 18:00,1/25/2016 18:00,21XX BLOCK OF NW 97 ST,J,J1,1600.2002,-122.3849487,47.69972229,"(47.69972229, -122.38494873)",1,2016
646481,201663893,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,2/22/2016 16:19,1/11/2016 22:00,2/22/2016 13:00,LATONA AV NE / NE 52 ST,B,B3,4500.2023,-122.3255844,47.66643906,"(47.666439056, -122.325584412)",1,2016
645474,201663507,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,2/22/2016 13:49,1/20/2016 23:45,,10XX BLOCK OF NE 125 ST,L,L1,200.5007,-122.3169403,47.71944046,"(47.71944046, -122.316940308)",1,2016
647045,2016901405,2304,1,THEFT-AUTOACC,2300,OTHER PROPERTY,2/21/2016 15:00,1/29/2016 18:00,1/30/2016 14:45,16XX BLOCK OF E BOSTON TR,C,C2,6200.3003,-122.3124084,47.63787842,"(47.637878418, -122.312408447)",1,2016
646705,201662334,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,2/21/2016 9:19,1/30/2016 8:00,2/18/2016 19:00,5XX BLOCK OF 14 AV,G,G2,8600.1012,-122.3141556,47.60712051,"(47.607120514, -122.314155579)",1,2016
646582,201661789,X,47,PROPERTY FOUND,X,STOLEN PROPERTY,2/20/2016 19:09,1/17/2016 12:00,2/20/2016 12:00,47XX BLOCK OF 42 AV SW,W,W2,10500.4005,-122.3854828,47.56021118,"(47.560211182, -122.385482788)",1,2016
645390,201661741,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,2/20/2016 18:27,1/1/2016 12:00,,76XX BLOCK OF 8 AV NW,J,J2,2900.3006,-122.3660049,47.68436432,"(47.684364319, -122.366004944)",1,2016
647091,201661342,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,2/20/2016 12:23,1/27/2016 18:30,,94XX BLOCK OF 13 AV SW,F,F3,11300.2015,-122.3517303,47.51836777,"(47.518367767, -122.351730347)",1,2016
646914,2016901383,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,2/20/2016 12:22,1/15/2016 12:14,1/24/2016 12:10,107XX BLOCK OF 63 AV S,S,S3,11900.3015,-122.2540741,47.5045433,"(47.504543304, -122.254074097)",1,2016
647494,2016901382,2316,0,THEFT-MAIL,2300,MAIL THEFT,2/20/2016 11:44,1/29/2016 11:15,2/5/2016 23:15,137XX BLOCK OF 22 AV NE,L,L1,200.6013,-122.3060837,47.72947311,"(47.729473114, -122.306083679)",1,2016
646919,2016901381,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,2/20/2016 9:32,1/27/2016 12:00,1/27/2016 12:00,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.401,-122.3246155,47.70860291,"(47.708602905, -122.324615479)",1,2016
647033,201661063,2902,0,PROPERTY DAMAGE-RESIDENTIAL,2900,PROPERTY DAMAGE,2/20/2016 7:32,1/19/2016 12:00,2/12/2016 12:00,67XX BLOCK OF S 112 PL,S,S3,11900.202,-122.2500076,47.50253677,"(47.502536774, -122.250007629)",1,2016
646889,201660558,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,2/19/2016 23:07,1/19/2016 20:01,2/19/2016 20:01,70XX BLOCK OF 35 AV NE,U,U3,3900.1004,-122.2904053,47.68032455,"(47.680324554, -122.290405273)",1,2016
646801,201660618,2799,0,EMBEZZLE,2700,EMBEZZLE,2/19/2016 21:11,1/25/2016 0:00,2/19/2016 21:11,15XX BLOCK OF WESTERN AV,M,M1,8100.301,-122.3415833,47.6088562,"(47.608856201, -122.341583252)",1,2016
646348,2016901346,2304,1,THEFT-AUTOACC,2300,OTHER PROPERTY,2/19/2016 13:51,1/30/2016 19:00,1/30/2016 22:00,54XX BLOCK OF CALIFORNIA AV SW,W,W2,10500.2013,-122.3870163,47.5530014,"(47.553001404, -122.387016296)",1,2016
645413,201659912,2606,1,FRAUD-CHECK,2600,FRAUD,2/19/2016 10:44,1/21/2016 9:00,,8XX BLOCK OF 2 AV,K,K1,8100.1033,-122.3341522,47.60408783,"(47.60408783, -122.334152222)",1,2016
646737,2016901440,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,2/18/2016 19:15,1/30/2016 1:00,2/18/2016 19:05,1XX BLOCK OF NW 103 ST,N,N1,1400.3012,-122.3595123,47.70365906,"(47.703659058, -122.359512329)",1,2016
645570,201659200,2404,7,VEH-THEFT-TRAILER,2400,VEHICLE THEFT,2/18/2016 17:11,1/18/2016 16:00,2/15/2016 12:00,34XX BLOCK OF 15 AV W,Q,Q1,5801.4043,-122.3762589,47.65125275,"(47.651252747, -122.37625885)",1,2016
646238,2016901332,2305,0,THEFT-CARPROWL,2300,CAR PROWL,2/18/2016 17:06,1/30/2016 17:00,1/31/2016 17:00,2 AV / LENORA ST,D,D1,8002.1004,-122.3430557,47.61249924,"(47.612499237, -122.343055725)",1,2016
644236,201659050,X,48,PROPERTY LOST,X,LOST PROPERTY,2/18/2016 15:42,1/18/2016 12:00,,103XX BLOCK OF MERIDIAN AV N,N,N3,1200.5011,-122.3339157,47.70412827,"(47.704128265, -122.33391571)",1,2016
645651,201658777,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,2/18/2016 13:25,1/20/2016 1:00,1/21/2016 12:00,21XX BLOCK OF DEXTER AV N,D,D2,6000.1014,-122.3438644,47.63857651,"(47.638576508, -122.343864441)",1,2016
645460,201658813,2799,0,EMBEZZLE,2700,EMBEZZLE,2/18/2016 12:28,1/1/2016 0:00,2/13/2016 0:00,45XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.2009,-122.313118,47.66218185,"(47.662181854, -122.313117981)",1,2016
647471,2016901435,2305,0,THEFT-CARPROWL,2300,CAR PROWL,2/18/2016 12:17,1/28/2016 21:05,1/29/2016 6:05,95XX BLOCK OF RAVENNA AV NE,L,L3,2100.2005,-122.303627,47.69921494,"(47.699214935, -122.303627014)",1,2016
